"nitrate"
2.7
1.8
3.3
6.5
10
6.6
2.3
0.46
0.83
3
1
3
0.28
0.58
1.1
0.29
0.32
2.8
1.3
0.11
0.38
0.19
1.1
2.7
0.89
0.14
0.32
0.18
0.41
0.32
0.57
0.33
0.63
0.48
0.37
0.55
0.14
0.43
0.45
0.29
0.19
0.24
0.88
0.12
0.58
2.1
4.5
0.65
1.3
1
12
2.3
19
2.7
2.7
0.29
0.53
1.5
1
7.4
0.62
3.1
1.4
3.5
5.6
0.28
1.4
0.91
2
0.65
1
0.51
0.54
1.3
0.81
1.1
0.69
0.75
1.2
1.5
0.31
0.35
0.2
1.2
0.37
1.2
0.18
0.4
0.64
0.19
0.49
0.67
0.33
0.35
0.71
0.53
0.21
0.43
0.88
0.6
0.18
1.2
0.6
0.29
0.18
0.65
0.32
0.42
1.6
0.56
1.3
1.9
2.1
3.2
1.1
1.3
0.47
3.3
1.6
2
5.4
13
2.2
0.83
0.76
2.3
0.87
1.2
0.65
0.15
0.11
1.8
0.27
0.56
1.3
0.64
1.1
0.4
0.43
0.26
1
0.34
0.22
0.27
0.24
0.14
1
0.29
1.1
0.69
0.45
0.25
0.2
1.2
0.2
0.53
0.37
0.74
0.46
0.3
0.63
0.33
0.13
1.7
0.53
0.11
0.89
1.8
0.04
2.7
2.3
1.1
4.7
1.3
8.5
0.65
2.1
0.68
1.1
2.5
0.9
5.5
2.1
6.9
0.63
23
1.1
1.7
0.51
0.85
0.33
2
1.3
0.66
0.65
0.67
0.27
0.51
0.45
1
0.9
0.14
0.23
0.18
0.25
0.52
0.32
1.1
0.37
0.51
1
0.22
0.18
0.34
0.7
0.32
0.28
0.65
0.21
0.28
0.36
0.7
0.61
0.21
0.14
0.4
0.31
0.41
0.93
1.3
0.73
0.42
0.86
0.19
1.3
2.2
2.5
1.8
0.66
1.1
0.28
0.83
3.7
2.9
0.38
1.6
3.3
1.1
1.8
1.3
0.22
0.27
0.65
0.17
1
1
0.52
0.25
0.21
1
2.2
0.27
0.41
0.77
0.66
0.18
0.18
1.7
0.21
0.14
0.35
0.81
0.52
0.21
0.38
0.21
0.78
0.2
0.73
0.34
0.49
0.37
0.25
2.1
0.11
0.34
0.87
0.13
1.6
0.09
0.22
2.7
1.3
1.3
6.4
0.28
0.84
1.6
1.1
6.9
14
7
3.7
7.5
0.39
0.74
4.6
5.2
1.9
0.46
0.53
1.2
1.1
0.31
0.66
0.2
1
1.2
0.39
0.13
0.22
0.28
0.64
0.12
1.4
1.2
0.25
1.4
0.19
0.23
0.31
0.68
0.32
0.65
0.33
0.34
0.2
0.5
0.25
0.8
0.33
0.19
0.2
0.2
0.43
0.59
0.82
0.29
0.59
0.56
0.85
0.14
0.27
2.3
3.1
0.35
0.04
3
1.1
0.13
0.44
0.71
2.8
1.4
0.9
1.2
0.4
0.73
0.47
5
3
3.4
0.33
0.67
0.9
0.48
1.1
0.31
0.19
0.54
0.23
0.16
0.23
0.11
1.5
0.16
0.28
0.61
0.19
0.13
1.2
0.55
0.8
0.21
0.22
0.18
0.1
0.14
0.51
0.41
0.32
0.25
0.49
0.25
0.54
0.22
0.58
0.54
2.7
2
3.4
1.6
6.3
3.1
0.9
1.6
1.8
6.1
12
3.3
0.88
0.65
3
1
1
0.41
0.67
0.5
0.67
1.1
0.66
0.19
0.52
0.2
0.15
0.16
0.56
2.3
0.66
0.2
0.5
0.19
0.42
1.3
0.62
0.32
0.21
0.68
0.29
0.15
0.39
0.23
0.71
0.17
0.18
0.24
0.31
0.21
1.2
0.13
0.18
0.42
0.4
0.81
0.92
0.75
4.1
2.4
1.4
7.2
9.7
1.5
2.5
2.2
0.17
0.76
0.75
1.3
1.6
1
0.79
0.39
0.59
0.42
0.71
1
0.46
0.15
0.42
0.53
0.23
0.53
